Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Keon Johnson;SG;19;6.5;186;2553120.0;;;
Luke Kennard;SG;25;6.5;206;13347727.0;8.3;2.6;1.7
Kawhi Leonard;SF;30;6.7;225;36016200.0;24.8;6.5;5.2
Terance Mann;SG;24;6.5;215;1782621.0;7.0;3.6;1.6
Marcus Morris Sr.;SF;32;6.8;218;15627907.0;13.4;4.1;1.0
Patrick Patterson;PF;32;6.8;235;;5.2;2.0;0.8
Jason Preston;PG;22;6.4;187;1062303.0;;;
Jay Scrubb;SG;21;6.5;220;;8.8;3.5;0.3
Justise Winslow;PF;25;6.6;222;3902439.0;6.8;4.5;1.9
Ivica Zubac;C;24;7.0;240;7518518.0;9.0;7.2;1.3
Kostas Antetokounmpo;PF;23;6.1;200;;0.8;1.3;0.1
Carmelo Anthony;PF;37;6.7;238;1669178.0;13.4;3.1;1.5
Trevor Ariza;SF;36;6.8;215;1669178.0;9.4;4.8;1.8
Kent Bazemore;SF;32;6.4;195;1669178.0;7.2;3.4;1.6
Devontae Cacok;PF;24;6.7;240;;2.0;1.6;0.1
Anthony Davis;PF;28;6.1;253;35361360.0;21.8;7.9;3.1
Wayne Ellington;SG;33;6.4;207;1669178.0;9.6;1.8;1.5
Marc Gasol;C;36;6.11;255;2692991.0;5.0;4.1;2.1
Talen Horton-Tucker;SG;20;6.4;234;9500000.0;9.0;2.6;2.8
Dwight Howard;C;35;6.1;265;1669178.0;7.0;8.4;0.9
LeBron James;SF;36;6.9;250;41180544.0;25.0;7.7;7.8
Wesley Matthews;SG;34;6.4;220;;4.8;1.6;0.9
Malik Monk;SG;23;6.3;200;1669178.0;11.7;2.4;2.1
Kendrick Nunn;G;26;6.2;190;5000000.0;14.6;3.2;2.6
Rajon Rondo;PG;35;6.1;180;1669178.0;5.4;2.4;4.4
Russell Westbrook;PG;32;6.3;200;44211146.0;22.2;11.5;11.7
Deandre Ayton;C;23;6.11;250;12632950.0;14.4;10.5;1.4
Devin Booker;SG;24;6.5;206;31650600.0;25.6;4.2;4.3
Mikal Bridges;SF;25;6.6;209;5557725.0;13.5;4.3;2.1
Jae Crowder;PF;31;6.6;235;9720900.0;10.1;4.7;2.1
Langston Galloway;SG;29;6.1;200;;4.8;1.1;0.7
Chandler Hutchison;SF;25;6.6;210;4019459.0;4.3;3.1;0.7
Cameron Johnson;SF;25;6.8;210;4437000.0;9.6;3.3;1.4
Frank Kaminsky;PF;28;7.0;240;1669178.0;6.6;4.0;1.7
JaVale McGee;C;33;7.0;270;5000000.0;7.3;5.2;0.8
E'Twaun Moore;SG;32;6.3;191;;4.9;1.7;1.5
Abdel Nader;SF;27;6.5;225;2000000.0;6.7;2.6;0.8
Chris Paul;PG;36;6.0;175;30000000.0;16.4;4.5;8.9
Cameron Payne;PG;27;6.1;183;6500000.0;8.4;2.4;3.6
Elfrid Payton;PG;27;6.3;195;1669178.0;10.1;3.4;3.2
Dario Saric;PF;27;6.1;225;8510000.0;8.7;3.8;1.3
Landry Shamet;SG;24;6.4;190;3768342.0;9.3;1.8;1.6
